"DATA_YM","TOTAL_BIDG","FAC_NEIGH_1","FAC_NEIGH_2","FAC_CULT_MTG","FAC_RELG","FAC_RETAIL","FAC_MEDI","TOTAL_GAS","CMRC_GAS","TOTAL_ELEC"
202303,538,266,88,6,1,2,1,13.1568034507179,13.0520932620171,1174.57
202303,765,72,174,1,0,2,0,12.6844194980916,12.6702593894543,571.137
202212,343,74,161,1,1,0,1,13.7341302060434,13.4964919173144,1094.982
202312,129,4,14,0,1,0,0,12.3287105439127,12.319191487393,594.064
202301,34,2,14,0,0,1,0,14.4493609222837,13.6947882067492,2708.273
202407,24,9,12,0,0,0,0,11.8571887013519,11.7210365934505,945.607
202308,1,0,0,0,0,0,0,9.2177131263056,0,0
202401,261,101,50,0,1,0,1,11.90820554802,11.9082122829111,431.083
202208,38,7,8,0,0,0,0,9.63593485137951,9.63292477189174,68.201
202301,171,8,41,0,0,0,0,11.9194433520454,11.9194500116751,293.958
202210,204,14,23,0,0,0,0,12.1304866585736,11.5083248985747,605.138
202405,13,6,4,0,0,0,0,12.8985170792214,12.6606611955979,950.842
202303,249,59,70,0,1,0,1,13.7274233297269,13.0419772774451,1511.289
202406,153,34,31,0,0,4,0,11.4700492787087,11.4700597167407,449.982
202211,145,53,41,0,0,1,0,9.33996413976969,9.12978086411777,201.905
202310,3,0,0,0,0,1,0,13.2572421119559,12.5605461681181,1030.212
202303,37,7,7,0,0,0,0,10.3791004205464,10.3507022248388,52.043
202303,269,51,132,2,0,2,0,14.8190957934106,14.6770954424677,5589.638
202303,689,190,123,0,0,5,1,13.8742359656501,13.1786057050988,2510.212
202312,1523,222,867,1,1,2,0,15.9497991220536,15.6685980878122,12354.263
202207,155,31,58,0,0,1,0,13.0634580267938,12.9996351343408,1242.391
202303,128,26,52,0,1,0,1,12.9109853401841,12.3130238952994,546.895
202310,5,1,0,0,0,3,0,13.7037943319458,13.7037954501406,3196.212
202409,142,34,16,0,0,3,0,11.3728124609802,11.3677031418132,355.565
202210,171,9,27,0,1,0,1,12.7892933467115,12.0631314045369,986.165
202406,335,152,84,0,0,3,0,13.5898250285596,13.1324146932574,1926.278
202409,14,1,0,0,0,0,0,13.2901616466319,11.2557725975533,5566.288
202210,113,24,29,0,0,0,1,12.8532910642017,12.7611323560034,1114.399
202308,20,13,5,0,0,0,0,8.12118324207883,8.12148037475075,69.965
202303,125,45,15,0,1,2,0,13.0330074358882,12.6089878387001,553.15
202310,14,5,2,0,0,3,0,11.7450684000812,0,259.805
202207,110,3,21,0,0,0,0,11.3505594649546,11.3505712277923,235.481
202402,98,19,44,0,0,0,0,13.2023494680905,13.0830756220038,1278.089
202409,84,7,36,0,0,0,0,10.0768524512872,10.0768944919405,159.143
202404,478,61,60,0,0,2,1,12.4270217908958,12.4270257996751,731.545
202208,960,261,191,0,1,7,1,13.2230734967113,12.9942436012482,3431.29
202212,281,78,62,0,1,2,1,13.9276152802483,13.6398301001744,2320.278
202303,399,129,53,0,0,2,0,11.3333202156705,11.3018216443507,651.955
202303,52,12,9,0,0,0,0,9.30164253038297,9.30173380040539,181.785
202207,249,96,61,0,1,0,0,6.34212141872115,6.34388043412633,431.614
202310,20,2,3,3,0,3,0,14.09061334188,12.6915866151391,1156.817
202405,106,23,25,0,0,0,1,13.1451771529145,12.1834946705169,1368.08
202312,477,111,131,1,1,2,0,14.7283922857813,14.5108648011687,5692.837
202311,50,2,21,0,0,1,0,12.8134195336233,12.0235910759349,839.122
202303,106,24,24,0,1,0,1,13.2421763513412,12.5917499262326,947.037
202211,94,36,37,0,1,0,1,11.7168617317366,11.5983689467877,553.566
202301,176,5,14,0,0,2,0,13.3694734240911,13.2262331825051,2163.548
202303,287,53,143,0,1,0,1,13.6865333507055,13.6333049944428,2128.702
202406,293,90,32,0,1,0,0,11.9995833883553,11.942282865498,461.815
202303,287,76,113,2,1,0,0,13.6090360529349,13.1050625779254,1403.084
